       0.000     275.830       0.000
       4.650     274.810       0.000
       9.330     273.320       0.000
      13.870     271.570       0.000
      19.100     270.890       0.000
      23.650     270.770       0.000
      28.990     270.990       0.000
      33.420     270.880       0.000
      38.620     272.130       0.000
      43.490     272.070       0.000
      48.100     272.150       0.000
      53.080     271.870       0.000
      58.180     271.800       0.000
      62.770     272.360       0.000
      67.710     272.730       0.000
      72.670     273.320       0.000
      77.210     273.800       0.000
      82.150     274.470       0.000
      87.480     274.960       0.000
      92.340     275.690       0.000
      96.840     276.890       0.000
     100.480     277.350       0.000
     105.180     278.610       0.000
     110.130     279.250       0.000
